"Food","X.x","January.2021","February.2021","March.2021","April.2021","May.2021","June.2021","July.2021","August.2021","September.2021","October.2021","November.2021","December.2021","X.y","Measure","Grams","Calories","Protein","Fat","Sat.Fat","Fiber","Carbs"
"Apples",9,4.53,4.49,4.57,4.55,4.64,4.66,4.79,4.97,4.9,4.61,4.44,4.76,13,"1 med",130,"70","t","t",0,1,"18"
"Bacon",2,7.32,7.44,7.29,7.69,7.89,7.79,7.99,8.24,8.27,8.29,8.47,8.66,5,"2 slices",16,"95","4","8",7,0,"1"
"Breads",8,2.79,2.87,2.82,2.85,2.88,2.82,2.8,2.82,2.81,2.84,2.89,2.98,15,"1-lb. loaf",454,"1,100","48","14",10,67.5,"216"
"Butter",5,5.4,5.29,5.56,5.44,5.53,5.57,5.55,5.52,5.69,5.6,5.51,5.48,4,"1/4 lb.",112,"113","114","115",116,117,"118"
"Canned salmon",3,6.67,6.6,6.48,6.41,6.23,6.53,6.64,6.53,6.41,6.66,6.53,6.53,8,"3 oz.",85,"120","17","5",1,0,"0"
"Carrots",12,2.25,2.34,2.33,2.43,2.49,2.52,2.64,2.37,2.4,2.32,2.36,2.43,9,"1 cup",150,"45","1","t",0,0.9,"10"
"Chicken",1,7.35,7,7.73,7.87,7.76,7.72,8.07,8.13,8.3,8.51,8.18,7.87,7,"3 oz.",85,"185","23","9",7,0,"0"
"Coffee",16,6.54,6.19,6.32,6.42,7.67,7.28,6.99,7.14,6.86,7.83,7.1,7.44,16,"1 cup",230,"3","t","0",0,0,"1"
"Eggs",7,3.64,3.62,3.77,3.8,3.74,3.75,3.74,3.91,3.82,3.87,3.87,3.82,3,"2",100,"150","12","12",10,0,"t"
"Onions",14,2.29,2.32,2.31,2.25,2.35,2.38,2.45,2.44,2.31,2.14,2.29,2.25,10,"1",210,"80","2","t",0,1.6,"18"
"Partly skimmed milk",4,5.3,5.48,5.49,5.5,5.51,5.48,5.51,5.49,5.49,5.52,5.5,5.52,1,"1 qt.",976,"660","32","40",36,0,"48"
"Potatoes",15,10.34,10.09,10.31,10.23,10.58,10.5,10.72,10.67,10.19,10.17,9.89,10.36,11,"1 med.",100,"100","2","t",0,0.5,"22"
"Processed cheese slices",6,2.69,2.79,2.84,2.77,2.83,2.81,2.72,2.77,2.61,2.66,2.63,2.63,2,"1 cup",225,"240","30","11",10,0,"6"
