"Food","winter_avg","spring_avg","fall_avg","summer_avg"
"Apples",4.59333333333333,4.58666666666667,4.65,4.80666666666667
"Bacon",7.80666666666667,7.62333333333333,8.34333333333333,8.00666666666667
"Bananas",1.58,1.56,1.6,1.57333333333333
"Bread",2.88,2.85,2.84666666666667,2.81333333333333
"Canned salmon",6.6,6.37333333333333,6.53333333333333,6.56666666666667
"Canned tomatoes",1.54666666666667,1.56333333333333,1.64,1.65
"Carrots",2.34,2.41666666666667,2.36,2.51
"Chicken",7.40666666666667,7.78666666666667,8.33,7.97333333333333
"Eggs",3.69333333333333,3.77,3.85333333333333,3.8
"Ground beef",11.5566666666667,11.3433333333333,12.21,11.29
"Onions",2.28666666666667,2.30333333333333,2.24666666666667,2.42333333333333
"Oranges",3.82333333333333,3.72333333333333,4.01333333333333,3.96333333333333
"Partly skimmed milk",5.43333333333333,5.5,5.50333333333333,5.49333333333333
"Potatoes",10.2633333333333,10.3733333333333,10.0833333333333,10.63
"Processed cheese slices",2.70333333333333,2.81333333333333,2.63333333333333,2.76666666666667
